NY662_111_Part1_conversation1_EEGPO_02REF,0,0
NY717_111_Part1_conversation1_LGA10,0,0
NY717_111_Part1_conversation1_LGA18,0,0
NY717_111_Part1_conversation1_LGA27,0,0
NY717_111_Part1_conversation1_LGA32,0,0
NY717_111_Part1_conversation1_LGA36,0,0
NY717_111_Part1_conversation1_LGA37,0,0
NY717_111_Part1_conversation1_LGA38,0,0
NY717_111_Part1_conversation1_LGA39,0.007,0
NY717_111_Part1_conversation1_LGA4,0,0
NY717_111_Part1_conversation1_LGA44,0,0
NY717_111_Part1_conversation1_LGA46,0,0
NY717_111_Part1_conversation1_LGA47,0,0
NY717_111_Part1_conversation1_LGA9,0,0
NY717_111_Part1_conversation1_LGB108,0,0
NY717_111_Part1_conversation1_LGB112,0,0
NY717_111_Part1_conversation1_LGB113,0,0
NY717_111_Part1_conversation1_LGB114,0,0
NY717_111_Part1_conversation1_LGB116,0,0
NY717_111_Part1_conversation1_LGB117,0,0
NY717_111_Part1_conversation1_LGB119,0,0
NY717_111_Part1_conversation1_LGB120,0,0
NY717_111_Part1_conversation1_LGB121,0,0
NY717_111_Part1_conversation1_LGB122,0,0
NY717_111_Part1_conversation1_LGB124,0,0
NY717_111_Part1_conversation1_LGB126,0,0
NY717_111_Part1_conversation1_LGB66,0,0
NY717_111_Part1_conversation1_LGB67,0.006961111,0
NY717_111_Part1_conversation1_LGB71,0,0
NY717_111_Part1_conversation1_LGB74,0,0
NY717_111_Part1_conversation1_LGB75,0,0
NY717_111_Part1_conversation1_LGB78,0,0
NY717_111_Part1_conversation1_LGB79,0,0
NY717_111_Part1_conversation1_LGB80,0,0
NY717_111_Part1_conversation1_LGB82,0,0
NY717_111_Part1_conversation1_LGB85,0,0
NY717_111_Part1_conversation1_LGB86,0,0
NY717_111_Part1_conversation1_LGB87,0,0
NY717_111_Part1_conversation1_LGB88,0,0
NY717_111_Part1_conversation1_LGB95,0,0
NY717_111_Part1_conversation1_LOF4,0,0
NY723_111_Part1_conversation1_LDII7,0,0
NY723_111_Part1_conversation1_LDII8,0,0
NY723_111_Part1_conversation1_LDII9,0,0
NY723_111_Part1_conversation1_LDSI10,0,0
NY723_111_Part1_conversation1_LDSI9,0,0
